index,som_key,lon,lat
1016,1532,5.242643481,52.49703706
1017,1653,5.250015176000001,52.49703706
1018,1658,5.2573868710000005,52.49703706
1019,1658,5.264758566,52.49703706
1020,1649,5.272130261,52.49703706
1021,1655,5.279501956,52.49703706
1022,1711,5.286873652,52.49703706
1023,1890,5.2942453469999995,52.49703706
1024,1950,5.301617042,52.49703706
1025,1891,5.308988737,52.49703706
1026,1891,5.316360432,52.49703706
1027,1834,5.3237321269999995,52.49703706
1028,1832,5.331103822,52.49703706
1029,1832,5.338475518,52.49703706
1030,1833,5.345847213,52.49703706
1031,2193,5.3532189080000006,52.49703706
1032,2313,5.360590603,52.49703706
1033,2319,5.367962298,52.49703706
1034,2318,5.375333993,52.49703706
1035,2318,5.382705688,52.49703706
1036,2378,5.390077384,52.49703706
1037,2377,5.397449078999999,52.49703706
1038,2376,5.404820774,52.49703706
1039,1859,5.412192469,52.49703706
1040,211,5.080466188,52.50151852
1041,9,5.087837883,52.50151852
1042,130,5.095209578,52.50151852
1043,68,5.102581273,52.50151852
1044,6,5.109952968,52.50151852
1045,189,5.117324663,52.50151852
1046,370,5.1246963580000005,52.50151852
1047,488,5.132068053999999,52.50151852
1048,548,5.139439749,52.50151852
1049,574,5.146811444,52.50151852
1050,574,5.154183139,52.50151852
1051,805,5.1615548339999995,52.50151852
1052,865,5.168926529,52.50151852
1053,985,5.176298224,52.50151852
1054,1044,5.18366992,52.50151852
1055,1104,5.191041615,52.50151852
1056,1164,5.19841331,52.50151852
1057,1292,5.205785005,52.50151852
1058,1354,5.2131567,52.50151852
1059,1414,5.220528395,52.50151852
1060,1474,5.22790009,52.50151852
1061,1534,5.235271786,52.50151852
1062,1534,5.242643481,52.50151852
1063,1593,5.250015176000001,52.50151852
1064,1657,5.2573868710000005,52.50151852
1065,1717,5.264758566,52.50151852
1066,1717,5.272130261,52.50151852
1067,1716,5.279501956,52.50151852
1068,1714,5.286873652,52.50151852
1069,1712,5.2942453469999995,52.50151852
1070,1771,5.301617042,52.50151852
1071,1773,5.308988737,52.50151852
1072,1835,5.316360432,52.50151852
1073,1896,5.3237321269999995,52.50151852
1074,1894,5.331103822,52.50151852
1075,1895,5.338475518,52.50151852
1076,1894,5.345847213,52.50151852
1077,1953,5.3532189080000006,52.50151852
1078,2073,5.360590603,52.50151852
1079,2198,5.367962298,52.50151852
1080,2198,5.375333993,52.50151852
1081,2257,5.382705688,52.50151852
1082,2318,5.390077384,52.50151852
1083,2317,5.397449078999999,52.50151852
1084,1859,5.404820774,52.50151852
1085,2316,5.412192469,52.50151852
1086,1799,5.419564164,52.50151852
1087,150,5.080466188,52.50599997
1088,189,5.087837883,52.50599997
1089,190,5.095209578,52.50599997
1090,249,5.102581273,52.50599997
1091,309,5.109952968,52.50599997
1092,371,5.117324663,52.50599997
1093,490,5.1246963580000005,52.50599997
1094,549,5.132068053999999,52.50599997
1095,513,5.139439749,52.50599997
1096,574,5.146811444,52.50599997
1097,744,5.154183139,52.50599997
1098,864,5.1615548339999995,52.50599997
1099,984,5.168926529,52.50599997
1100,1043,5.176298224,52.50599997
1101,1103,5.18366992,52.50599997
1102,1103,5.191041615,52.50599997
1103,1224,5.19841331,52.50599997
1104,1284,5.205785005,52.50599997
1105,1284,5.2131567,52.50599997
1106,1344,5.220528395,52.50599997
1107,1404,5.22790009,52.50599997
1108,1525,5.235271786,52.50599997
1109,2263,5.242643481,52.50599997
1110,1644,5.250015176000001,52.50599997
1111,1825,5.2573868710000005,52.50599997
1112,1705,5.264758566,52.50599997
1113,2131,5.272130261,52.50599997
1114,2202,5.279501956,52.50599997
1115,2071,5.286873652,52.50599997
1116,1713,5.2942453469999995,52.50599997
1117,1774,5.301617042,52.50599997
1118,1775,5.308988737,52.50599997
1119,1898,5.316360432,52.50599997
1120,2133,5.3237321269999995,52.50599997
1121,2200,5.331103822,52.50599997
1122,2260,5.338475518,52.50599997
1123,2014,5.345847213,52.50599997
1124,1953,5.3532189080000006,52.50599997
1125,2480,5.360590603,52.50599997
1126,2014,5.367962298,52.50599997
1127,1955,5.375333993,52.50599997
1128,2255,5.382705688,52.50599997
1129,2256,5.390077384,52.50599997
1130,2318,5.397449078999999,52.50599997
1131,2316,5.404820774,52.50599997
1132,2494,5.412192469,52.50599997
1133,2555,5.419564164,52.50599997
1134,2556,5.426935858999999,52.50599997
1135,182,5.080466188,52.51048143
1136,249,5.087837883,52.51048143
1137,310,5.095209578,52.51048143
1138,425,5.102581273,52.51048143
1139,485,5.109952968,52.51048143
1140,453,5.117324663,52.51048143
