C (d),GHG (cmNAP),GLG (cmNAP),GVG (cmNAP),T (m2/d),Wortelzone (m),kD (m/d),U_matrix,X,Y,XY,Total features
835.3548529125976,0.9615247755460739,1.552158862080574,1.1296517972157,1.1851280980033874,22.08250630765915,0.23954387969968138,0.07223219658284148,29,0,29,2.0
926.1095797937012,0.9455813899583816,1.5599226368045809,1.1184487364013194,1.0863444956398007,22.716470229320525,0.11216587188721405,0.0570650306858353,30,0,30,3.0
983.188410505371,0.8015333599252701,1.6889732068920136,1.0290211649539471,1.4254199492034907,23.92730128873825,0.5450520703124653,0.06325945210028944,31,0,31,1.0
1001.247120534668,0.5821618315811157,1.8431003169441222,0.8843518843433857,2.693424160747528,24.562713698921204,2.053685350341823,0.08321138983364379,32,0,32,3.0
1017.7395430163574,0.4116261848545074,1.6771622470474243,0.7147306515862942,5.614924937271118,24.09095415552139,5.351581583862298,0.08323465552389889,33,0,33,
1040.5799276098633,0.34577061561202993,1.488924639530182,0.6244028969724178,7.299879501209259,23.637498239803314,7.219460651550321,0.059080316209645364,34,0,34,6.0
1095.7526563378906,0.3319727763805389,1.4497960501098635,0.6055342138807773,6.753468195354461,23.35714987049103,6.61640539581299,0.10409784930904548,35,0,35,
1344.8494880773926,0.4023205833063125,1.4863146749210356,0.6691201990365983,3.15658042710495,21.551490415649415,2.5194111914062773,0.12617508082918558,36,0,36,
1531.0235374804688,0.4975045008487702,1.5253980249547958,0.7530798610155582,1.1878076190414424,20.060653356933592,0.2266070507812401,0.09448222323078831,37,0,37,1.0
1674.9335233496095,0.5821265429897309,1.499963049850464,0.8156918198544979,1.009756610851288,18.2517282188797,0.012651803283688423,0.13971938353116425,38,0,38,1.0
1980.7265376123046,0.7143211351766586,1.3300682736063005,0.8874743947021961,1.0001989491958616,12.282349004535675,0.0007101150512767163,0.1666898389224335,39,0,39,
2142.8565739782716,0.7199814252347946,1.2729796477222441,0.8805858836741447,1.0000090618782043,11.1377007024765,-0.0002850256347528557,0.13513770588198257,40,0,40,3.0
2247.5965210314944,0.5322461190671921,1.3104726593208311,0.7378927864212991,1.0000090618782043,15.282326749649048,-0.0002850256347528557,0.13132706959997897,41,0,41,1.0
2409.1939910754395,0.3130616202573777,1.3235538019418716,0.5651631086673736,1.0000090618782043,18.96736055700302,-0.0002850256347528557,0.10464936600039093,42,0,42,
2620.7413276330567,0.33735781542587273,1.381703813433647,0.596229976933241,1.0000301604690556,19.91651558095932,-0.0002850256347528557,0.11907791465124448,43,0,43,2.0
2907.2748590063475,0.5358490842475891,1.5497994540739057,0.7886406124329567,1.0001356534233095,19.999132098999024,-0.0002850256347528557,0.14215900902377238,44,0,44,1.0
3151.9869422875977,0.6032432360744476,1.5796539692497253,0.8485238910484314,1.0001778506050112,20.00279282453537,-0.0002850256347528557,0.11687163854164115,45,0,45,3.0
3316.84691647583,0.4793344051446915,1.3996116506052019,0.7133909258580208,1.000114554832459,20.011826125679015,-0.0002850256347528557,0.10266503231907284,46,0,46,3.0
3467.0563195373534,0.18305139187717434,1.1274271413993835,0.42192497863793377,1.0000934562416077,20.061706803131106,-0.0002850256347528557,0.08264233243881844,47,0,47,
3561.4447764172364,0.023642238014221162,0.9947713401985168,0.2678705852484702,1.0007475125579832,20.246059887695314,0.0007101150512767163,0.06862073909393622,48,0,48,10.0
3745.174446347656,-0.0358331539058685,0.8871885990095139,0.1987709781978131,1.0039966955490112,21.042807583026885,0.0046906777954518475,0.12820582883670967,49,0,49,1.0
