afwijking_GHG,afwijking_GLG,afwijking_DYN,Bodemtype (categorie),GVG (cmNAP),Start stijghoogte (cmNAP),GHG (cmNAP),GLG (cmNAP),C (d),Landgebruik (categorie),kD (m/d),T (m2/d),AHN (mNAP),Wortelzone (m),Buis,X,Y
0.19,-0.25,0.44,41.0,0.5498849749565125,29.375986099243164,0.3367229998111725,1.1525299549102783,10.834854125976562,13.0,385.4414978027344,1.0,2992.389892578125,20.0,B52C2102002,189407.0,379069.0
0.2,-0.2,0.4,41.0,0.5498849749565125,29.375986099243164,0.3367229998111725,1.1525299549102783,10.834854125976562,13.0,385.4414978027344,1.0,2992.389892578125,20.0,PEVE074002,189474.0,379066.0
0.15,-0.17,0.32,49.0,0.6649349927902222,29.058061599731445,0.4439750015735626,1.2987699508666992,7.733654499053955,2.0,391.4219055175781,1.0,2988.06005859375,30.0,B52C2103002,188944.0,378980.0
0.16,-0.16,0.32,49.0,0.6649349927902222,29.058061599731445,0.4439750015735626,1.2987699508666992,7.733654499053955,2.0,391.4219055175781,1.0,2988.06005859375,30.0,PEVE073002,188948.0,378983.0
0.29,0.26,0.03,62.0,0.5421969890594482,24.96556663513184,0.4161089956760407,0.7965469956398009,2.7145705223083496,11.0,1021.7576904296876,1.0,2515.75,100.0,B57B0488001,156113.0,370994.0
0.27,0.06,0.21,129.0,0.25851601362228394,28.685688018798828,0.05663299933075905,0.8160499930381775,0.7587051987648009,2.0,903.2332763671876,1.0,2904.719970703125,55.0,B57B0493001,155554.0,368752.0
0.22,-0.14,0.36,47.0,0.9588040113449096,30.45364761352539,0.7046449780464172,1.7254400253295898,10.322787284851074,11.0,304.873291015625,1.0,3161.6298828125,100.0,B52D2142002,190770.0,379034.0
0.22,0.13,0.09,41.0,0.6317309737205505,28.06433486938477,0.44828000664711,1.115530014038086,3.7408325672149663,13.0,695.365478515625,1.0,2892.25,20.0,PEVE120_2001,187603.0,380014.0
0.22,0.01,0.21,231.0,0.5577570199966431,-0.6773440837860107,0.44863399863243103,0.7442479729652405,2.5162482261657715,18.0,1422.5943603515625,1.0,65.47499847412111,25.0,2127001,125742.0,411256.0
0.24,-0.12,0.36,49.0,0.6649349927902222,29.058061599731445,0.4439750015735626,1.2987699508666992,7.733654499053955,2.0,391.4219055175781,1.0,2988.06005859375,30.0,B52C2103001,188944.0,378980.0
0.52,1.46,-0.94,358.0,2.486089944839477,25.387117385864254,2.2405900955200195,3.2180800437927246,2.4570834636688232,2.0,3337.77001953125,1.0,2823.5,50.0,B60A0356001,185820.0,343780.0
0.84,0.71,0.13,188.0,1.9677000045776367,12.73924160003662,1.7567399740219116,2.561530113220215,1.3266370296478271,11.0,446.2603149414063,1.0,1502.9000244140625,100.0,B52E0057001,201893.0,395384.0
0.93,1.87,-0.94,349.0,2.486089944839477,25.911823272705078,2.2405900955200195,3.2180800437927246,8.041408538818361,18.0,3522.2998046875,1.0,2845.5,30.0,B60A0357001,186020.0,343745.0
