xy_buis (ID),som_key,GHG_ERROR,lon,lat
B52C2095001,1939,0.16,189665.0,379063.0
B57B0297001,1848,0.17,159907.0,369246.0
B26D0023001,1667,0.18,157974.1952,479944.5079
B40G1182001,1385,0.24,204886.0,435833.0
B40G1169001,1501,0.29,204155.0,433694.0
B57B0438001,1970,0.29,156157.0,371111.0
2019001,1332,0.27,125142.0,411086.0
2127_PBF001,1272,0.25,125742.0,411256.0
NPD-PB25001,546,0.25,225023.0,534145.0
PEVE071001,1730,0.25,190771.0,379035.0
B40D2308001,1516,0.26,198375.0,436909.0
B60A0368001,2590,0.26,189320.0,344440.0
2091_PBF001,1152,0.06,126189.0,411279.0
B11B0077001,2422,0.05,197710.0,563670.0
B44C0212002,866,0.02,106709.0,404977.0
2088001,1748,0.12,126595.0,411593.0
PEVE073_2001,1938,0.13,188948.0,378983.0
2088_PBF001,1748,0.12,126595.0,411593.0
2072001,1272,0.13,125737.0,411080.0
UFFELTE-PB6001,664,0.14,215958.0,535380.0
B57B0433001,2058,0.09,154750.0,365940.0
B40F0446001,903,0.72,218596.96,437908.17
B40G1176001,1687,0.79,202098.0,436477.0
B26G0288001,1671,0.83,161712.28,481010.61
B46B0220001,1868,0.63,190526.0,416438.0
B26F0046001,1463,0.93,177922.6,492177.8
B40G1181001,1803,1.05,204722.0,435031.0
5165001,2086,1.1,110703.0,396222.0
5315_PBF001,1883,1.58,100198.0,388252.0
B60A1742001,1621,1.45,185860.0,342200.0
B39F2948002,1992,0.35,176989.0,440582.0
5121_PBF001,1408,0.4,105355.0,404308.0
B44F0186001,1207,0.54,131451.0,414352.0
B40D2312001,1994,0.5,198146.0,435651.0
B40D2309001,1933,0.48,198413.0,437111.0
B51D1851001,1155,0.51,155100.0,376500.0
B52G2945001,1569,0.42,209336.0,382874.0
B55A0281001,2811,-11.1,62260.0,362875.0
B55A0279001,2443,-3.64,61998.0,363650.0
B41A0078001,608,-0.02,226515.0,441380.0
B55A0352001,2687,-7.59,61817.0,362335.0
B55A0262001,2213,-1.94,63955.0,364345.0
B52G0429001,1865,,208626.0,382731.0
B41A0077001,609,0.04,227535.0,440550.0
B55A0306001,2257,-0.37,63617.0,364593.0
B58C0341004,2941,-0.32,189480.0,356575.0
B60A0368002,2590,0.31,189320.0,344440.0
B55A0292001,1376,0.49,60165.0,362520.0
B60A0356002,1620,0.52,185820.0,343780.0
B44F0186002,1207,0.55,131451.0,414352.0
B50F0157001,1815,0.13,138446.0,389050.0
B55A0360001,1720,0.21,60000.0,362840.0
B60A0360002,2280,1.08,187920.0,344640.0
B60C3686001,2995,-20.78,184952.0,328483.0
B60C1164001,2992,-9.15,186342.0,328896.0
B60C0995001,2991,-6.9,182016.0,332165.0
B57B0007002,1849,-0.16,155007.0,366275.0
B60A0362003,2702,-0.36,184835.0,344385.0
B60A0354002,2580,-0.01,185065.0,344385.0
B06H1509002,498,0.06,210231.0,578070.0
B55A0293001,1376,-0.12,60095.0,362620.0
B06G1308002,557,0.29,208993.0,578288.0
B55A0283001,2394,-3.86,64240.0,364190.0
B40B0342001,1563,0.66,191347.9,440136.2
B55A0291001,2687,-26.07,62187.0,363137.0
B55A0255001,2809,-10.21,61896.0,362760.0
B55A0278001,2576,-8.88,62170.0,362685.0
B55A0353001,2567,-5.78,61510.0,362290.0
B55A0256001,2334,-3.04,63014.0,363780.0
B21G0972003,2581,-2.21,201877.98,500936.48
B39H0381003,1440,-0.33,176130.0,435580.0
B45F0175002,2411,,176759.0,420530.0
B21G0300004,1143,0.17,209654.4,506162.84
B21G0300003,1143,0.18,209654.4,506162.84
B45E0395001,1539,0.25,164040.0,423405.0
B45A2458001,1120,0.26,148957.2,420510.09
B45B0306001,2126,0.28,157236.0,420688.0
B12D1808001,1019,0.29,230543.0,552233.0
B44F2124001,943,0.29,139064.0,419344.0
21FP9006001,1166,0.3,218591.0,520109.0
5349_PBF1001,1837,0.25,113131.0,395990.0
