Chloride_Lekhaven,Chloride_Lekhaven_T_12h,Chloride_Lekhaven_T_24h,Debiet_Lobith_T_30h,Waterstand_Hoek_van_Holland,delH_HvH_Spuihaven,delH_HvH_Spuihaven_T_12h,delH_HvH_Spuihaven_T_24h,U_matrix,X,Y,XY,Hits
218.2004216210937,221.33003208569335,225.31436487158203,2533.139072431946,-0.4539365692439079,-0.36109442879360915,-0.3587559485335946,-0.3516070082781017,0.08721682334890887,17,6,377,76
212.07195145507808,215.52074631762684,218.6076583540039,2547.1132171923828,-0.4638220917789936,-0.34727544898611307,-0.3432433303688467,-0.33795730331796403,0.08638037281722553,18,6,378,69
206.80308901367198,210.45413150634772,212.25320456298823,2564.070279300232,-0.46904583256435395,-0.33349900925379994,-0.3281924342243373,-0.32479964728438854,0.08520255982483545,19,6,379,79
202.13896408203118,205.5300260986328,205.81648122070305,2583.245459624023,-0.46906324726629256,-0.3198407000379563,-0.31398688476514813,-0.31238741109111906,0.084264969310379,20,6,380,70
197.82934044921876,200.41011508764655,199.31486921826172,2603.6692096585084,-0.4640404453494549,-0.3064729722587466,-0.3007136020601988,-0.30060762265548113,0.08374385047707211,21,6,381,69
194.08738229492178,195.34813472851556,193.41927095263668,2624.658027817688,-0.4537135270998478,-0.2936569565315247,-0.28842715622794624,-0.28921115567955374,0.08368720169351394,22,6,382,71
191.4471585693359,190.95814993090812,189.02885785742183,2646.123590842285,-0.4374649403948784,-0.2815775385676622,-0.2771736214402616,-0.2780742632866502,0.08435651105934916,23,6,383,91
190.2770725830078,187.74995043115223,186.64304087060555,2668.423206463013,-0.415292006049633,-0.2701777801126838,-0.2668392827197611,-0.2672309024033547,0.08600052903212843,24,6,384,77
190.48676125976567,185.84519059814443,186.057884203125,2691.9161897573854,-0.38825434169745443,-0.25915564663279056,-0.25706633000829815,-0.25670980581369995,0.08862703484936757,25,6,385,95
191.58386168457037,184.98086527246096,186.5028350156249,2716.652724395447,-0.35787841294288636,-0.24810635295104982,-0.24730350707930326,-0.2463611059282422,0.09211975399183059,26,6,386,69
192.92193031250008,184.69005340014633,187.0161506665038,2742.3387340707395,-0.3254241064915657,-0.2366987409437299,-0.2369495623282194,-0.23581388862583041,0.09622280543597658,27,6,387,69
193.96342269042975,184.55449567480468,186.8817384418944,2768.437253513794,-0.2920515094110966,-0.22480748100471495,-0.22553819899433852,-0.22459112438973783,0.10035489407057949,28,6,388,67
