date,symbol,value
2000-Jan-29,hombole,4.2102571428571425
2000-Jan-29,keleta,1.6266470588235293
2000-Jan-29,metahara,22.644464285714285
2000-Jan-29,nura hera,35.52
2000-Jan-29,wonji,34.93202439024391
2000-Jan-29,mojo,4.109175
2000-Jan-30,koka,36.93902564102565
2000-Jan-30,awash station,38.062428571428576
2000-Jan-30,hombole,4.222257142857143
2000-Jan-30,keleta,1.4544705882352942
2000-Jan-30,metahara,22.87307142857143
2000-Jan-30,nura hera,33.81105263157895
2000-Jan-30,wonji,33.695268292682925
2000-Jan-30,mojo,4.104025000000001
2000-Jan-31,koka,37.699128205128204
2000-Jan-31,awash station,36.22137142857143
2000-Jan-31,hombole,4.120171428571428
2000-Jan-31,keleta,1.4355454545454545
2000-Jan-31,metahara,21.637785714285716
2000-Jan-31,nura hera,34.25736842105264
2000-Jan-31,wonji,34.22870731707317
2000-Jan-31,mojo,4.110900000000001
2000-Feb-1,koka,36.90605128205128
2000-Feb-1,awash station,35.11702857142858
2000-Feb-1,hombole,4.217828571428571
2000-Feb-1,keleta,1.5366470588235293
2000-Feb-1,metahara,21.462357142857144
2000-Feb-1,nura hera,34.68578947368422
2000-Feb-1,wonji,34.85874999999999
2000-Feb-1,mojo,4.0932249999999994
2000-Feb-2,koka,36.84023076923078
2000-Feb-2,awash station,33.828114285714285
2000-Feb-2,hombole,3.917171428571429
2000-Feb-2,keleta,1.4716176470588231
2000-Feb-2,metahara,22.268535714285715
2000-Feb-2,nura hera,32.27473684210526
2000-Feb-2,wonji,33.681625000000004
2000-Feb-2,mojo,4.078574999999999
2000-Feb-3,koka,36.023225
2000-Feb-3,awash station,33.21074285714286
2000-Feb-3,hombole,3.8810571428571428
2000-Feb-3,keleta,1.6081176470588234
2000-Feb-3,metahara,21.55521428571429
2000-Feb-3,nura hera,32.50105263157896
2000-Feb-3,wonji,33.522774999999996
2000-Feb-3,mojo,4.053849999999999
2000-Feb-4,koka,36.003475
2000-Feb-4,awash station,32.53588571428572
2000-Feb-4,hombole,3.966857142857142
2000-Feb-4,keleta,1.3694705882352942
2000-Feb-4,metahara,21.956964285714292
2000-Feb-4,nura hera,33.18263157894737
2000-Feb-4,wonji,33.930600000000005
2000-Feb-4,mojo,4.059875
2000-Feb-5,koka,37.280075
2000-Feb-5,awash station,33.18397142857142
2000-Feb-5,hombole,4.036342857142857
2000-Feb-5,keleta,1.4635588235294117
2000-Feb-5,metahara,23.56110714285714
2000-Feb-5,nura hera,32.27789473684211
2000-Feb-5,wonji,34.362525000000005
2000-Feb-5,mojo,4.0573749999999995
2000-Feb-6,koka,35.54705
2000-Feb-6,awash station,33.97182857142856
2000-Feb-6,hombole,3.8428857142857145
2000-Feb-6,keleta,1.4184117647058823
2000-Feb-6,metahara,24.556642857142858
2000-Feb-6,nura hera,32.73784210526316
2000-Feb-6,wonji,32.330650000000006
2000-Feb-6,mojo,4.067024999999999
2000-Feb-7,koka,35.358875
2000-Feb-7,awash station,34.67794285714285
2000-Feb-7,hombole,3.9947428571428563
2000-Feb-7,keleta,1.3915588235294118
2000-Feb-7,metahara,23.27271428571429
2000-Feb-7,nura hera,33.358421052631584
2000-Feb-7,wonji,33.162225
2000-Feb-7,mojo,4.030474999999999
2000-Feb-8,koka,35.18645000000001
2000-Feb-8,awash station,35.231228571428574
2000-Feb-8,hombole,3.9417142857142857
2000-Feb-8,keleta,1.3795
2000-Feb-8,metahara,21.86717857142857
2000-Feb-8,nura hera,32.528421052631586
2000-Feb-8,wonji,33.5615
2000-Feb-8,mojo,4.022425
2000-Feb-9,koka,36.169225
2000-Feb-9,awash station,41.033542857142855
2000-Feb-9,hombole,4.059428571428571
2000-Feb-9,keleta,1.4899117647058822
2000-Feb-9,metahara,21.892500000000005
2000-Feb-9,nura hera,33.01526315789474
2000-Feb-9,wonji,34.03125000000001
2000-Feb-9,mojo,4.009475
2000-Feb-10,koka,35.682375
2000-Feb-10,awash station,43.56145714285713
2000-Feb-10,hombole,4.154599999999999
2000-Feb-10,keleta,1.8897647058823528
2000-Feb-10,metahara,22.565178571428568
2000-Feb-10,nura hera,34.04157894736843
2000-Feb-10,wonji,35.288536585365854
2000-Feb-10,mojo,4.023175
2000-Feb-11,koka,35.613575
2000-Feb-11,awash station,40.29008571428572
2000-Feb-11,hombole,4.432657142857142
2000-Feb-11,keleta,1.6133823529411764
2000-Feb-11,metahara,25.28739285714286
2000-Feb-11,nura hera,37.28526315789474
2000-Feb-11,wonji,34.5509268292683
2000-Feb-11,mojo,4.035725000000001
2000-Feb-12,koka,35.525349999999996
2000-Feb-12,awash station,39.285999999999994
2000-Feb-12,hombole,4.805399999999999
2000-Feb-12,keleta,1.531235294117647
2000-Feb-12,metahara,25.106214285714287
2000-Feb-12,nura hera,34.71736842105264
2000-Feb-12,wonji,33.846878048780496
2000-Feb-12,mojo,4.021475000000001
2000-Feb-13,koka,35.05800000000001
2000-Feb-13,awash station,36.03648571428571
2000-Feb-13,hombole,4.265485714285712
2000-Feb-13,keleta,1.7043823529411761
2000-Feb-13,metahara,23.337214285714285
2000-Feb-13,nura hera,34.21421052631579
2000-Feb-13,wonji,33.730390243902434
2000-Feb-13,mojo,4.023775
2000-Feb-14,koka,34.79112500000001
2000-Feb-14,awash station,35.47839999999999
2000-Feb-14,hombole,3.982942857142857
2000-Feb-14,keleta,1.543441176470588
2000-Feb-14,metahara,22.915714285714284
2000-Feb-14,nura hera,33.84105263157895
2000-Feb-14,wonji,34.880525
2000-Feb-14,mojo,4.052349999999999
2000-Feb-15,koka,35.27935000000001
2000-Feb-15,awash station,38.6188
2000-Feb-15,hombole,3.9347999999999996
2000-Feb-15,keleta,1.4613235294117641
2000-Feb-15,metahara,22.45467857142857
2000-Feb-15,nura hera,33.31578947368422
2000-Feb-15,wonji,34.513825
2000-Feb-15,mojo,4.216424999999999
2000-Feb-16,koka,35.499725000000005
2000-Feb-16,awash station,37.4352
2000-Feb-16,hombole,3.9039428571428574
2000-Feb-16,keleta,1.6284117647058818
2000-Feb-16,metahara,22.413321428571432
2000-Feb-16,nura hera,32.89421052631579
2000-Feb-16,wonji,33.320675
2000-Feb-16,mojo,4.179024999999998
2000-Feb-17,koka,35.11257500000001
2000-Feb-17,awash station,37.20382857142855
2000-Feb-17,hombole,4.583257142857143
2000-Feb-17,keleta,1.5083529411764702
2000-Feb-17,metahara,21.091785714285717
2000-Feb-17,nura hera,37.52894736842106
2000-Feb-17,wonji,33.453275000000005
2000-Feb-17,mojo,4.468149999999999
2000-Feb-18,koka,35.629625000000004
2000-Feb-18,awash station,36.427171428571434
2000-Feb-18,hombole,4.154199999999999
2000-Feb-18,keleta,1.6335294117647057
2000-Feb-18,metahara,22.74778571428571
2000-Feb-18,nura hera,36.555789473684214
2000-Feb-18,wonji,33.764475000000004
2000-Feb-18,mojo,4.483474999999998
