Annual maxima of daily discharge,Annual maxima of daily precipitation,Annual maxima of daily precipitation and snowmelt,Annual maxima of daily snowmelt,Annual maxima of daily total runoff coefficient,Annual mean of daily discharge,Annual mean of daily near-surface air temperature,Annual mean of daily precipitation,Annual mean of daily total runoff coefficient,Area,Average elevation,Average water capacity,Build-up areas,Circularity,Clay,Confidence,Eolian deposits,Forests,Glaciers,Gravel,Irrigated agriculture,Lakes,Marshes,Peat,River network density,River slopeness,Sand,Silt,Slopeness (average),Soil sealing,Soil texture (dimensionless index from 1 to 13),Steepness (equation),Time of concentration,Total area,Unconsolidated deposits,U-matrix,X,Y,XY,Total events in node
462.277,41.114,44.551,20.404,0.630,54.858,280.797,2.206,0.341,7003.364,475.654,83.601,4.030,0.298,19.148,88.669,5.611,44.087,0.000,8.359,1.263,0.163,0.308,0.001,0.401,29.660,38.629,42.259,13.238,1.259,5.220,24.257,341.769,7094.630,28.161,0.620,50,26,1610,38.000
545.243,40.555,43.947,19.817,0.611,76.392,280.952,2.176,0.334,10784.917,519.144,83.046,5.253,0.301,19.436,89.656,8.465,40.767,0.000,6.853,2.362,0.157,0.384,0.003,0.395,31.100,38.513,42.085,13.858,1.506,5.804,21.677,357.888,10894.595,22.658,0.556,51,26,1611,35.000
561.653,38.810,41.980,18.481,0.593,91.113,280.864,2.119,0.321,13855.716,538.860,89.016,6.202,0.309,19.403,91.404,10.647,37.687,0.000,6.224,2.946,0.177,0.321,0.005,0.396,31.948,38.499,42.128,13.939,1.919,6.088,19.647,366.986,13865.115,18.028,0.508,52,26,1612,35.000
561.729,38.094,41.417,18.674,0.609,93.042,280.707,2.166,0.325,14183.952,532.797,92.714,6.788,0.313,19.281,92.450,11.979,36.737,0.000,6.419,2.963,0.185,0.256,0.008,0.394,30.388,38.850,41.901,13.464,2.383,6.104,18.277,367.941,14122.492,15.502,0.551,53,26,1613,2.000
583.829,38.374,41.712,19.329,0.635,90.539,280.542,2.311,0.347,13204.999,518.576,95.844,7.920,0.316,19.356,93.398,13.407,36.700,0.000,7.086,2.799,0.169,0.220,0.012,0.384,26.128,39.318,41.370,12.380,3.284,6.096,16.132,362.187,13146.925,14.117,0.670,54,26,1614,2.000
754.069,38.689,41.718,19.398,0.639,111.591,280.455,2.411,0.366,15207.355,489.482,97.025,9.388,0.318,19.459,93.716,15.300,36.648,0.000,7.974,2.409,0.172,0.225,0.039,0.367,20.595,39.893,40.698,10.925,4.140,6.053,12.474,374.692,15193.164,14.216,0.649,55,26,1615,11.000
1085.373,38.146,40.753,17.916,0.610,182.414,280.655,2.378,0.363,21904.154,417.234,93.970,9.807,0.316,19.255,92.749,15.782,35.748,0.000,8.626,1.565,0.234,0.263,0.117,0.350,17.120,40.976,39.806,9.515,4.017,5.906,9.090,415.327,21857.522,17.348,0.543,56,26,1616,4.000
1383.000,37.398,39.778,16.502,0.598,263.600,280.836,2.418,0.368,26933.040,353.739,92.108,9.690,0.314,19.024,92.064,14.946,34.450,0.000,9.052,0.802,0.283,0.271,0.191,0.337,14.997,42.070,38.932,8.240,3.894,5.793,7.067,437.416,26805.493,20.677,0.454,57,26,1617,15.000
1658.703,37.467,39.834,16.470,0.606,339.066,280.742,2.507,0.383,30939.474,364.433,92.625,8.990,0.310,18.823,91.555,14.050,34.154,0.000,8.878,0.591,0.330,0.269,0.208,0.338,16.541,42.518,38.685,8.158,3.836,5.712,7.213,437.701,30756.484,21.142,0.567,58,26,1618,18.000
1895.305,38.079,40.514,17.099,0.619,404.911,280.507,2.573,0.398,35972.257,422.173,93.951,7.770,0.304,18.613,90.886,13.109,34.716,0.000,8.259,0.678,0.392,0.273,0.197,0.349,20.860,42.577,38.841,8.944,3.639,5.630,8.568,428.451,35757.092,19.852,0.777,59,26,1619,5.000
697.819,29.597,44.458,38.774,0.921,261.796,271.448,2.476,0.644,14816.862,540.498,121.938,0.145,0.291,6.643,74.244,0.000,49.232,0.239,4.007,0.000,8.574,8.325,0.393,0.324,16.983,65.042,28.323,8.147,0.076,2.900,16.252,172.515,14826.646,0.252,0.261,0,27,1620,103.000
679.841,29.596,44.170,38.377,0.916,258.245,271.582,2.479,0.636,14959.276,535.129,122.816,0.155,0.292,6.803,74.481,0.001,49.246,0.199,3.987,0.000,8.513,8.726,0.422,0.322,16.507,64.604,28.602,7.996,0.083,2.879,15.868,172.380,14927.554,0.298,0.276,1,27,1621,19.000
596.478,29.826,43.953,38.038,0.911,222.606,271.778,2.478,0.625,13528.976,533.702,122.345,0.169,0.293,7.118,76.189,0.003,48.980,0.112,4.198,0.000,8.008,10.072,0.437,0.318,15.786,63.696,29.199,7.657,0.093,2.768,16.130,169.379,13427.695,0.510,0.443,2,27,1622,5.000
417.220,29.814,44.191,38.545,0.918,117.505,271.734,2.423,0.622,7804.197,566.040,117.171,0.177,0.295,7.536,82.771,0.005,46.958,0.017,5.217,0.000,6.079,13.304,0.311,0.315,15.682,62.057,30.425,7.278,0.091,2.332,20.263,183.826,7722.889,0.661,0.585,3,27,1623,nan
356.637,28.719,44.230,39.332,0.931,64.640,271.186,2.335,0.631,4632.444,569.631,115.972,0.151,0.298,7.680,87.791,0.004,43.265,0.001,5.138,0.000,4.591,15.707,0.193,0.322,15.549,60.462,31.890,6.841,0.076,1.981,24.231,241.799,4602.379,0.452,0.661,4,27,1624,2.000
337.922,28.134,43.914,39.372,0.935,49.823,270.764,2.286,0.639,3721.866,549.983,116.580,0.117,0.297,7.649,89.296,0.003,40.357,0.000,4.488,0.000,4.132,16.376,0.214,0.327,15.322,59.649,32.750,6.386,0.067,1.873,26.617,336.742,3687.996,0.453,0.850,5,27,1625,13.000
315.211,28.370,43.865,39.168,0.931,45.165,270.729,2.303,0.644,3363.952,546.269,116.289,0.116,0.294,7.700,89.382,0.002,39.169,0.000,4.359,0.000,3.978,15.321,0.502,0.325,15.841,59.243,33.112,6.318,0.071,1.904,28.304,481.999,3317.653,0.656,1.023,6,27,1626,2.000
355.784,28.558,44.214,39.585,0.934,51.544,271.122,2.341,0.643,3623.405,518.982,115.273,0.182,0.293,8.041,89.508,0.006,42.770,0.000,5.087,0.000,3.404,12.667,1.398,0.314,16.464,58.593,33.423,6.310,0.105,2.027,24.342,558.988,3559.914,1.669,1.135,7,27,1627,1.000
680.109,27.435,42.272,37.925,0.937,86.712,271.341,2.201,0.623,6335.020,383.821,111.228,0.216,0.299,8.030,91.052,0.030,47.859,0.000,6.618,0.000,2.439,11.834,2.174,0.300,15.350,58.223,33.825,5.197,0.150,2.131,15.634,343.894,6195.902,4.901,1.152,8,27,1628,17.000
1018.167,26.943,40.182,35.163,0.916,117.997,270.971,2.007,0.615,9202.507,240.510,104.530,0.165,0.305,7.724,92.826,0.052,46.748,0.000,7.676,0.000,2.130,12.722,1.864,0.302,13.757,57.895,34.493,3.723,0.164,2.152,14.029,135.659,8991.868,8.083,0.775,9,27,1629,30.000
1012.392,28.206,40.010,33.648,0.887,112.016,271.292,2.004,0.615,8967.613,228.014,107.936,0.230,0.300,8.120,94.046,0.051,43.917,0.000,7.762,0.000,1.905,12.947,1.391,0.317,14.301,57.098,34.902,3.387,0.182,2.125,20.204,112.547,8761.934,7.994,0.792,10,27,1630,8.000
645.198,30.776,40.377,31.905,0.848,70.735,272.586,2.190,0.598,5644.112,332.907,123.147,0.407,0.285,9.295,95.417,0.031,41.652,0.000,7.042,0.000,1.487,12.885,0.854,0.340,16.768,55.806,34.999,4.181,0.215,2.039,32.504,194.472,5513.073,4.903,0.953,11,27,1631,3.000
246.454,35.124,42.873,30.906,0.801,28.765,273.937,2.553,0.585,2143.580,452.437,136.820,0.490,0.276,10.360,96.295,0.010,41.691,0.000,6.088,0.000,1.341,12.256,0.551,0.356,18.949,54.942,34.770,5.647,0.227,1.933,42.152,253.046,2091.728,1.659,0.889,12,27,1632,2.000
92.898,39.070,48.115,33.128,0.804,13.720,274.790,3.072,0.603,792.484,482.864,137.391,0.387,0.284,10.561,95.407,0.002,45.246,0.000,5.415,0.000,1.863,10.990,2.053,0.359,18.787,55.609,33.875,7.337,0.197,1.785,41.516,215.705,778.660,0.995,1.376,13,27,1633,nan
154.184,37.732,52.257,37.326,0.860,25.875,276.136,3.409,0.611,1059.459,414.782,99.570,0.279,0.303,10.593,92.459,0.000,37.867,0.000,8.208,0.000,2.179,11.568,15.951,0.353,19.540,58.248,31.159,9.465,0.174,1.768,32.986,124.181,1062.130,12.187,2.455,14,27,1634,nan
250.945,35.896,51.254,36.218,0.847,39.484,277.465,3.399,0.593,1360.508,388.065,53.863,0.238,0.325,10.602,95.627,-0.000,16.247,0.000,13.534,0.000,0.925,11.423,33.939,0.354,25.458,61.330,28.026,11.774,0.161,1.792,35.390,87.777,1357.387,30.024,2.544,15,27,1635,nan
217.837,35.633,49.432,34.431,0.840,31.737,277.538,3.362,0.586,1111.839,410.958,52.340,0.171,0.328,10.100,97.249,-0.000,11.961,0.000,13.934,0.000,0.499,8.182,38.043,0.350,26.547,62.660,27.195,12.379,0.138,1.679,41.593,83.578,1114.721,33.510,1.773,16,27,1636,nan
171.395,35.626,48.051,32.502,0.832,22.779,277.551,3.364,0.586,842.961,416.689,53.965,0.127,0.324,9.960,97.722,-0.000,11.766,0.000,13.538,0.000,0.375,5.533,39.212,0.338,26.047,62.690,27.306,12.576,0.131,1.706,46.499,79.734,853.790,33.981,1.317,17,27,1637,4.000
126.084,36.370,46.091,28.185,0.808,14.860,277.932,3.482,0.597,550.476,374.514,50.840,0.152,0.314,11.075,98.268,-0.000,14.166,0.000,12.456,0.000,0.328,3.940,37.903,0.315,22.930,59.704,29.168,12.215,0.176,2.052,47.619,74.546,564.291,30.767,1.122,18,27,1638,5.000
90.866,36.616,43.067,22.973,0.801,9.455,278.716,3.666,0.614,309.057,286.212,44.167,0.401,0.300,13.534,98.567,-0.000,17.060,0.000,10.034,0.000,0.356,2.342,33.381,0.288,15.031,53.277,33.100,10.471,0.343,2.645,39.700,73.199,317.082,21.824,0.889,19,27,1639,nan
80.893,36.204,42.083,22.111,0.802,8.938,279.002,3.708,0.613,279.831,252.003,44.484,0.682,0.299,14.610,98.034,-0.000,17.735,0.000,9.464,0.000,0.597,1.152,30.376,0.288,12.427,50.655,34.637,9.597,0.467,2.901,37.955,74.521,284.960,18.744,0.464,20,27,1640,80.000
80.108,36.208,42.277,22.418,0.786,9.525,279.057,3.696,0.605,301.671,244.872,51.218,0.904,0.304,15.225,97.473,0.000,18.841,0.000,9.865,0.000,0.899,0.908,27.976,0.299,13.579,49.726,34.976,9.594,0.539,3.121,41.258,74.988,307.589,18.978,0.575,21,27,1641,50.000
109.332,36.666,43.420,23.395,0.765,12.054,279.024,3.650,0.598,418.439,271.299,72.151,1.043,0.322,15.423,97.551,0.001,16.908,0.000,9.070,0.000,0.958,2.462,23.123,0.322,17.245,49.513,35.034,10.180,0.570,3.880,44.181,74.882,425.998,18.108,1.099,22,27,1642,nan
199.058,38.306,45.943,25.476,0.753,19.088,279.046,3.552,0.587,787.274,309.579,117.262,1.477,0.344,15.117,98.176,0.011,10.669,0.000,5.753,0.000,0.541,4.135,11.630,0.355,21.050,49.615,35.301,10.764,0.732,5.314,42.679,79.039,798.095,13.641,1.075,23,27,1643,21.000
211.132,39.580,47.749,27.629,0.773,20.304,279.135,3.468,0.580,873.320,297.939,134.003,2.078,0.340,15.170,98.133,0.023,8.768,0.000,4.499,0.000,0.354,3.031,5.578,0.360,19.622,49.123,35.765,10.572,1.001,5.592,40.036,84.823,886.046,12.371,0.503,24,27,1644,38.000
192.558,40.002,48.669,29.071,0.791,18.862,279.164,3.419,0.576,813.418,302.012,136.515,2.383,0.337,15.278,98.133,0.029,8.009,0.000,4.241,0.002,0.283,2.571,3.539,0.360,18.631,48.826,35.961,10.485,1.145,5.586,39.317,89.487,826.302,12.370,0.296,25,27,1645,227.000
169.396,40.236,48.982,29.390,0.798,16.862,279.246,3.397,0.568,731.042,355.679,131.375,2.475,0.336,15.453,98.167,0.029,9.929,0.000,4.243,0.017,0.333,2.284,2.584,0.362,18.682,48.695,35.921,10.608,1.202,5.395,39.980,102.785,742.804,11.489,0.560,26,27,1646,7.000
102.786,42.094,49.454,26.339,0.749,10.761,279.826,3.213,0.513,511.055,659.056,97.229,1.829,0.327,15.465,98.345,0.034,29.099,0.000,4.747,0.213,0.644,1.085,1.053,0.366,20.809,49.916,34.699,11.482,0.972,4.099,42.899,169.166,516.559,5.642,0.890,27,27,1647,nan
49.982,44.373,49.571,21.253,0.647,5.580,280.475,2.847,0.443,338.963,921.177,69.737,1.087,0.321,14.755,98.726,0.086,49.136,0.000,5.346,0.706,0.576,0.126,0.064,0.374,24.074,52.248,33.088,12.642,0.666,2.841,47.963,220.889,341.780,1.001,0.672,28,27,1648,21.000
42.833,45.729,49.583,17.939,0.573,4.496,281.019,2.546,0.403,334.386,972.936,68.585,1.128,0.323,14.552,98.702,0.158,51.855,0.000,5.321,1.242,0.423,0.031,0.001,0.395,29.197,53.019,32.516,13.971,0.639,2.423,56.806,201.270,341.420,1.008,0.467,29,27,1649,34.000
57.131,48.393,51.266,15.226,0.517,5.297,281.855,2.283,0.371,421.203,985.862,68.958,1.444,0.325,14.996,98.503,0.182,49.601,0.000,4.801,1.567,0.349,0.014,0.000,0.415,35.605,52.782,32.298,15.621,0.697,2.084,67.418,158.298,430.542,1.246,0.409,30,27,1650,40.000
99.230,51.377,53.814,13.841,0.494,9.039,282.446,2.212,0.363,637.655,965.157,69.229,1.790,0.325,15.571,98.201,0.140,44.810,0.000,4.467,1.506,0.506,0.023,0.000,0.427,40.383,52.003,32.494,16.510,0.824,1.935,71.995,124.896,644.460,1.136,0.419,31,27,1651,81.000
160.127,53.473,55.718,13.793,0.504,15.623,282.380,2.450,0.389,978.216,913.104,71.633,1.826,0.325,16.036,97.379,0.077,36.311,0.000,4.904,1.111,1.418,0.096,0.000,0.444,43.142,50.618,33.415,16.014,0.975,2.043,65.634,105.216,979.397,0.864,0.601,32,27,1652,29.000
151.424,53.028,55.718,16.296,0.561,15.966,281.371,3.017,0.456,929.370,869.143,84.096,1.551,0.320,16.052,96.578,0.020,24.246,0.000,5.532,0.425,2.546,0.355,0.007,0.457,40.519,47.572,36.434,13.989,1.004,2.595,54.226,107.174,927.480,0.693,0.843,33,27,1653,33.000
81.285,49.696,53.949,21.244,0.646,8.273,279.898,3.381,0.524,450.383,944.923,105.770,1.575,0.309,14.741,97.755,0.001,17.205,0.000,5.324,0.051,1.142,0.739,0.023,0.442,30.962,43.923,41.350,11.969,0.806,3.524,53.225,150.120,451.911,0.957,0.824,34,27,1654,1.000
62.947,49.041,53.872,22.833,0.674,5.853,279.496,3.423,0.542,313.724,977.858,113.712,1.625,0.306,14.508,98.470,0.002,16.027,0.000,5.154,0.011,0.246,0.819,0.028,0.428,26.810,42.670,42.818,11.350,0.731,3.834,53.659,168.108,316.812,1.122,0.618,35,27,1655,100.000
55.665,51.617,56.083,21.908,0.665,5.107,279.879,3.339,0.525,305.976,929.538,114.177,1.427,0.311,16.239,98.672,0.008,17.528,0.000,5.138,0.042,0.099,0.621,0.021,0.404,24.134,42.151,41.614,11.235,0.752,3.733,50.869,163.371,310.019,1.260,0.734,36,27,1656,8.000
59.306,56.726,60.104,19.234,0.624,5.305,280.908,3.045,0.465,436.563,839.465,105.501,0.939,0.321,19.880,98.809,0.016,22.624,0.000,5.305,0.219,0.095,0.197,0.006,0.374,22.560,41.810,38.335,12.151,0.811,3.377,46.675,138.692,443.093,1.383,0.673,37,27,1657,24.000
86.528,58.381,61.567,17.887,0.579,7.745,281.588,2.676,0.401,804.356,866.543,90.531,0.648,0.326,21.397,98.889,0.009,27.750,0.000,5.368,0.722,0.135,0.024,0.001,0.382,27.596,42.274,36.366,14.228,0.750,3.144,47.526,110.655,814.425,1.314,0.530,38,27,1658,37.000
115.050,57.179,60.842,17.528,0.541,11.245,282.016,2.329,0.348,1342.973,956.319,77.764,0.465,0.326,21.633,99.031,0.002,31.949,0.000,5.218,1.674,0.209,0.006,0.000,0.396,34.437,42.815,35.590,16.343,0.546,2.983,49.206,92.242,1356.352,1.413,0.446,39,27,1659,40.000
153.638,53.728,57.683,17.112,0.506,16.643,282.344,2.098,0.309,1995.457,997.107,69.678,0.398,0.325,21.825,99.149,0.002,36.502,0.000,5.073,2.862,0.263,0.005,0.000,0.411,39.483,42.792,35.418,17.936,0.429,2.909,48.216,85.105,2010.884,1.758,0.414,40,27,1660,38.000
212.351,48.868,52.630,16.434,0.479,23.629,282.379,2.039,0.292,2561.124,941.071,66.668,0.595,0.323,22.011,99.020,0.012,41.698,0.000,5.217,3.892,0.247,0.004,0.000,0.435,42.116,42.020,35.996,18.379,0.581,3.077,44.316,88.358,2577.824,2.363,0.444,41,27,1661,13.000
221.182,44.755,47.551,14.784,0.465,23.790,282.157,2.150,0.297,2329.946,786.257,70.332,1.222,0.323,21.839,98.829,0.043,44.767,0.000,6.063,4.203,0.153,0.003,0.000,0.451,40.932,41.058,37.128,17.360,1.144,3.489,39.874,120.370,2345.326,2.909,0.567,42,27,1662,21.000
139.417,42.499,44.037,12.206,0.468,15.258,281.895,2.363,0.318,1392.815,576.144,80.266,2.107,0.323,20.817,98.882,0.096,43.126,0.000,8.089,2.665,0.056,0.004,0.000,0.437,34.461,41.044,38.194,15.603,1.849,3.951,39.921,242.299,1401.610,3.238,0.647,43,27,1663,4.000
120.607,40.568,41.876,12.306,0.488,16.419,281.425,2.420,0.332,1378.451,483.409,88.533,2.539,0.321,20.152,98.653,0.153,44.679,0.000,9.745,0.990,0.037,0.009,0.001,0.434,31.523,40.514,39.416,15.047,1.904,4.250,39.098,365.403,1367.554,4.012,0.653,44,27,1664,24.000
169.875,38.098,39.916,15.168,0.535,24.366,280.626,2.313,0.338,2004.791,491.779,100.518,3.182,0.324,20.054,98.182,0.293,48.659,0.000,10.394,0.457,0.056,0.016,0.002,0.454,34.173,39.071,40.958,15.720,1.858,4.393,34.252,406.293,1967.650,5.262,0.631,45,27,1665,20.000
189.910,35.546,37.829,17.575,0.589,26.222,279.933,2.133,0.337,2415.856,500.913,114.779,4.455,0.324,19.719,97.452,0.655,48.249,0.000,10.378,0.332,0.081,0.017,0.002,0.473,36.047,38.298,42.054,15.837,2.139,4.396,30.136,373.507,2364.176,8.542,0.594,46,27,1666,3.000
178.271,35.277,37.455,17.598,0.608,25.157,279.894,2.000,0.332,2859.500,467.805,121.349,5.269,0.317,19.313,95.555,1.040,45.242,0.000,10.128,0.339,0.132,0.022,0.001,0.475,34.682,38.362,42.380,14.659,2.347,4.376,28.623,312.482,2788.458,14.864,0.595,47,27,1667,63.000
204.972,37.513,39.742,17.941,0.624,30.488,280.154,2.030,0.342,3721.277,434.188,118.755,4.968,0.309,19.042,93.258,1.386,44.776,0.000,10.198,0.404,0.197,0.050,0.000,0.459,33.059,38.729,42.274,13.541,2.169,4.380,27.724,291.149,3622.808,20.109,0.577,48,27,1668,13.000
307.959,40.672,43.530,19.958,0.646,42.224,280.297,2.175,0.358,5079.668,444.630,107.681,4.373,0.305,18.927,91.450,2.666,45.381,0.000,10.319,0.604,0.216,0.125,0.000,0.434,31.054,39.003,42.111,13.159,1.839,4.493,25.613,293.407,5015.729,22.589,0.768,49,27,1669,14.000
491.254,42.910,46.465,21.868,0.645,66.477,280.528,2.275,0.359,8579.974,509.739,88.100,4.342,0.302,19.049,89.837,5.678,44.054,0.000,8.708,1.453,0.181,0.286,0.000,0.404,30.658,39.010,41.981,13.789,1.453,5.114,22.475,318.309,8670.473,22.695,0.771,50,27,1670,5.000
594.024,41.630,45.093,20.621,0.616,95.158,280.745,2.221,0.340,13874.521,562.791,81.989,5.233,0.306,19.258,90.399,8.534,40.273,0.000,6.699,2.523,0.162,0.373,0.002,0.400,33.894,38.591,42.183,14.699,1.459,5.854,19.970,342.992,13984.783,19.771,0.488,51,27,1671,34.000
628.176,39.782,43.138,19.313,0.601,110.553,280.748,2.157,0.324,17049.898,570.991,84.277,5.884,0.311,19.256,91.626,10.306,37.756,0.000,6.323,2.975,0.180,0.337,0.004,0.403,35.212,38.302,42.468,14.889,1.634,6.125,18.648,360.707,17029.623,17.221,0.296,52,27,1672,82.000
636.992,39.203,42.689,19.258,0.606,112.034,280.717,2.153,0.322,17343.335,558.713,86.151,6.303,0.313,19.240,91.968,11.377,36.978,0.000,6.490,3.056,0.204,0.301,0.007,0.402,34.550,38.347,42.437,14.599,1.819,6.183,18.596,373.959,17230.360,16.162,0.276,53,27,1673,110.000
631.228,39.453,43.159,20.073,0.622,105.275,280.587,2.199,0.332,16152.234,545.297,88.514,6.793,0.313,19.241,92.093,12.372,37.015,0.000,6.729,2.824,0.213,0.282,0.011,0.399,32.411,38.674,42.111,13.933,2.102,6.117,18.454,382.060,16037.095,15.595,0.471,54,27,1674,3.000
704.343,40.107,43.927,21.489,0.633,112.313,280.301,2.264,0.352,17387.785,521.987,91.275,7.828,0.315,19.182,92.129,14.549,37.369,0.000,7.210,2.132,0.232,0.291,0.034,0.386,27.298,39.513,41.337,12.533,2.578,5.891,15.806,399.432,17372.657,15.136,0.680,55,27,1675,nan
1013.162,40.212,43.475,20.524,0.614,194.015,280.338,2.332,0.365,25645.789,463.221,91.920,8.712,0.312,18.941,91.429,16.658,36.355,0.000,7.953,1.377,0.314,0.315,0.099,0.363,21.983,41.061,40.031,10.636,3.097,5.695,10.933,445.932,25653.933,16.827,0.655,56,27,1676,7.000
1313.466,39.294,42.060,18.730,0.618,300.599,280.389,2.537,0.392,30200.944,444.425,94.995,8.354,0.303,18.627,91.064,16.609,34.216,0.000,8.151,0.758,0.365,0.289,0.127,0.348,20.242,42.476,38.932,9.010,3.681,5.550,9.376,479.054,30137.402,18.810,0.601,57,27,1677,3.000
1537.913,39.008,41.447,17.940,0.625,394.126,280.136,2.727,0.418,33565.451,499.450,98.350,7.240,0.295,18.305,90.690,16.478,33.408,0.000,7.517,0.470,0.415,0.280,0.095,0.350,22.584,43.194,38.542,8.679,3.879,5.367,10.408,502.318,33513.130,18.282,0.548,58,27,1678,4.000
1678.986,39.204,41.455,17.689,0.627,453.866,279.892,2.816,0.432,36555.007,557.594,100.234,6.292,0.290,18.077,90.353,16.456,33.490,0.000,6.831,0.411,0.461,0.288,0.057,0.358,25.614,43.464,38.503,8.972,3.826,5.232,11.623,516.435,36547.398,17.086,0.525,59,27,1679,12.000
519.744,30.489,46.107,40.191,0.924,208.431,271.333,2.564,0.654,11348.999,565.202,117.712,0.140,0.294,6.872,74.052,0.000,48.330,0.235,4.199,0.000,9.284,7.818,0.468,0.329,17.807,64.317,28.822,8.500,0.073,2.860,18.496,156.577,11511.022,0.211,0.223,0,28,1680,163.000
523.219,30.438,45.962,40.015,0.922,210.291,271.444,2.574,0.648,11779.367,562.533,118.580,0.156,0.294,7.032,74.487,0.000,48.064,0.198,4.186,0.000,9.118,8.303,0.482,0.327,17.479,63.885,29.094,8.377,0.079,2.839,18.066,160.139,11897.200,0.242,0.266,1,28,1681,21.000
500.909,30.444,45.834,39.955,0.921,190.774,271.620,2.584,0.641,11254.298,566.675,118.520,0.198,0.294,7.341,76.774,0.001,47.160,0.115,4.538,0.000,8.336,9.916,0.463,0.322,17.023,63.031,29.641,8.106,0.088,2.696,18.067,172.666,11259.539,0.347,0.486,2,28,1682,9.000
406.927,30.017,46.412,41.111,0.932,110.841,271.533,2.547,0.647,7073.415,604.863,114.962,0.222,0.295,7.789,83.651,0.005,44.316,0.020,5.556,0.000,6.105,13.590,0.337,0.317,17.257,61.399,30.835,7.868,0.085,2.234,22.497,250.241,7012.661,0.367,0.678,3,28,1683,8.000
343.166,29.020,46.545,42.012,0.944,59.245,270.960,2.480,0.656,4156.947,621.281,116.340,0.165,0.294,8.066,87.257,0.011,39.348,0.001,4.772,0.000,4.752,15.544,0.319,0.318,17.288,59.533,32.451,7.445,0.071,2.052,28.737,435.821,4131.128,0.388,0.791,4,28,1684,8.000
312.493,28.881,45.592,41.191,0.942,46.990,270.713,2.462,0.660,3444.651,627.924,116.673,0.136,0.290,7.939,87.469,0.010,35.698,0.000,4.300,0.000,4.536,14.872,0.488,0.320,17.868,59.262,32.867,7.214,0.065,2.096,34.007,644.847,3399.667,0.492,0.873,5,28,1685,20.000
272.238,29.158,45.672,41.144,0.940,42.669,270.710,2.487,0.665,3057.873,623.402,113.514,0.130,0.289,7.924,87.609,0.005,35.384,0.000,4.588,0.000,4.382,12.966,0.724,0.320,18.741,59.137,33.011,7.294,0.072,2.169,36.257,795.653,3004.806,0.813,0.753,6,28,1686,10.000
271.315,29.183,46.392,41.864,0.942,44.043,270.787,2.483,0.667,2978.850,581.416,109.198,0.143,0.293,8.256,88.800,0.003,38.957,0.000,5.463,0.000,3.942,10.620,1.005,0.315,18.870,58.113,33.695,7.235,0.090,2.158,31.607,837.517,2945.422,1.578,0.772,7,28,1687,2.000
518.800,28.713,45.860,41.381,0.944,73.438,270.894,2.373,0.657,5073.732,484.508,104.997,0.168,0.300,8.377,91.016,0.015,44.008,0.003,7.200,0.000,3.063,9.594,1.394,0.308,18.335,57.417,34.272,6.555,0.119,2.095,21.784,662.217,5012.400,3.554,1.339,8,28,1688,nan
1116.357,27.924,43.251,38.250,0.928,131.308,270.492,2.075,0.647,10026.540,272.327,98.183,0.121,0.310,7.695,92.689,0.049,44.890,0.006,8.593,0.000,2.370,11.192,1.692,0.303,15.299,57.790,34.626,4.253,0.147,2.156,13.544,236.164,9826.218,8.093,1.272,9,28,1689,nan
1325.930,28.464,42.744,36.849,0.909,144.158,270.325,1.983,0.653,11473.152,184.514,96.813,0.091,0.312,7.532,93.062,0.061,43.744,0.003,8.499,0.000,2.248,12.018,1.651,0.304,13.717,57.657,34.942,3.169,0.156,2.214,14.230,56.588,11216.800,9.848,0.698,10,28,1690,56.000
985.494,30.886,44.223,36.888,0.897,105.639,271.197,2.329,0.655,8408.787,309.137,107.305,0.130,0.308,8.556,94.026,0.045,46.033,0.001,7.316,0.000,2.136,11.638,1.199,0.307,16.407,56.401,35.145,4.650,0.144,2.110,26.892,62.958,8216.003,7.264,0.974,11,28,1691,1.000
308.023,36.919,49.978,38.745,0.901,34.872,273.239,3.324,0.664,2553.104,528.578,126.739,0.145,0.306,10.188,96.263,0.013,53.183,0.000,5.059,0.000,2.243,9.741,0.438,0.321,20.927,55.138,34.711,8.559,0.101,1.757,45.778,90.752,2494.281,2.126,1.038,12,28,1692,2.000
86.866,41.665,56.464,41.373,0.919,12.101,274.802,4.051,0.682,535.931,524.333,133.273,0.128,0.312,10.377,97.776,0.001,55.118,0.000,4.453,0.000,2.506,7.728,1.038,0.351,20.778,56.266,33.373,10.776,0.090,1.472,45.485,81.581,527.626,1.699,1.253,13,28,1693,nan
209.909,41.360,60.574,45.009,0.928,34.433,276.169,4.094,0.677,1087.552,447.681,102.479,0.267,0.325,9.935,97.181,0.000,37.595,0.000,8.529,0.000,1.977,4.817,12.126,0.376,24.505,59.072,30.991,12.867,0.159,1.537,36.453,81.826,1078.370,18.660,1.960,14,28,1694,nan
376.595,38.157,58.793,45.027,0.908,62.694,276.992,3.695,0.649,2000.169,440.923,57.833,0.367,0.340,9.192,96.144,-0.000,13.674,0.000,14.214,0.000,0.948,2.104,30.114,0.380,32.059,62.747,28.028,14.781,0.209,1.631,34.060,92.730,1982.361,41.616,1.638,15,28,1695,1.000
313.516,37.266,55.539,41.732,0.891,50.261,277.073,3.560,0.630,1676.691,450.897,54.720,0.278,0.338,9.006,96.724,-0.000,10.986,0.000,14.495,0.000,0.659,2.268,35.161,0.368,31.419,63.768,27.184,14.429,0.178,1.558,39.609,89.817,1671.764,42.092,0.754,16,28,1696,1.000
