Annual maxima of daily discharge,Annual maxima of daily precipitation,Annual maxima of daily precipitation and snowmelt,Annual maxima of daily snowmelt,Annual maxima of daily total runoff coefficient,Annual mean of daily discharge,Annual mean of daily near-surface air temperature,Annual mean of daily precipitation,Annual mean of daily total runoff coefficient,Area,Average elevation,Average water capacity,Build-up areas,Circularity,Clay,Confidence,Eolian deposits,Forests,Glaciers,Gravel,Irrigated agriculture,Lakes,Marshes,Peat,River network density,River slopeness,Sand,Silt,Slopeness (average),Soil sealing,Soil texture (dimensionless index from 1 to 13),Steepness (equation),Time of concentration,Total area,Unconsolidated deposits,U-matrix,X,Y,XY,Total events in node
32.120,30.360,31.872,11.228,0.540,3.714,281.265,2.195,0.344,498.459,136.374,108.947,13.887,0.286,19.013,90.347,0.076,4.458,0.000,6.771,0.023,0.152,0.976,1.584,0.262,5.998,44.734,36.336,3.769,6.060,5.617,18.833,91.648,508.056,9.892,0.527,50,0,50,99.000
37.005,30.901,32.640,11.272,0.548,4.894,281.196,2.239,0.355,737.204,130.482,105.056,15.837,0.283,18.972,92.254,0.120,6.038,0.000,7.548,0.008,0.165,1.297,2.269,0.264,5.825,44.714,36.370,3.915,6.319,5.321,18.089,92.399,749.103,17.522,0.498,51,0,51,144.000
46.678,32.158,34.032,11.389,0.531,6.938,281.203,2.298,0.356,997.700,133.758,116.981,17.302,0.294,19.147,91.732,0.098,7.940,0.000,7.391,0.012,0.157,0.733,1.401,0.266,5.643,44.118,36.803,4.749,6.650,5.191,18.482,92.297,1008.954,24.191,0.459,52,0,52,146.000
58.093,33.413,35.312,11.828,0.505,9.209,281.146,2.377,0.359,1035.671,153.424,128.588,19.139,0.303,19.029,88.584,0.048,8.741,0.000,6.716,0.016,0.136,0.214,0.433,0.271,6.026,44.141,36.917,5.526,7.543,5.272,20.762,90.916,1039.501,23.539,0.459,53,0,53,168.000
68.503,33.572,35.486,12.252,0.498,11.294,281.042,2.399,0.361,1068.250,163.266,128.944,20.782,0.294,18.813,84.671,0.045,7.666,0.000,6.265,0.013,0.123,0.142,0.153,0.278,6.118,44.603,36.674,5.320,8.657,5.518,21.936,92.923,1066.269,18.351,0.538,54,0,54,227.000
57.620,33.308,35.257,12.880,0.511,9.322,280.935,2.379,0.363,846.224,157.688,118.483,23.011,0.281,18.054,83.245,0.084,8.457,0.000,6.494,0.019,0.157,0.427,0.349,0.288,6.111,45.967,36.065,4.848,9.728,5.358,21.567,94.201,846.457,13.300,0.676,55,0,55,99.000
42.762,33.579,35.689,13.871,0.526,6.341,280.893,2.368,0.362,550.521,158.214,104.635,26.689,0.284,16.715,82.713,0.090,12.355,0.000,7.210,0.045,0.256,0.894,0.738,0.301,6.617,48.118,35.256,4.823,10.899,4.647,20.644,93.655,557.273,11.271,0.869,56,0,56,98.000
39.418,34.485,36.835,14.067,0.529,5.375,281.121,2.356,0.349,410.373,168.219,100.509,32.123,0.281,16.312,79.775,0.078,15.672,0.000,7.420,0.084,0.324,0.946,0.792,0.305,7.386,48.811,34.971,4.923,13.216,4.346,21.647,93.325,430.407,11.738,1.437,57,0,57,39.000
41.707,37.611,39.748,13.602,0.531,4.845,281.220,2.572,0.367,253.324,220.955,101.507,42.711,0.258,17.062,82.629,0.104,14.801,0.000,7.531,0.154,0.308,0.664,0.587,0.317,10.607,47.567,35.422,5.737,18.574,4.377,34.619,94.069,303.315,9.910,1.617,58,0,58,34.000
47.352,40.394,42.233,13.739,0.530,5.061,281.071,2.817,0.396,194.872,273.021,99.212,49.294,0.250,17.551,89.510,0.135,13.084,0.000,7.942,0.205,0.265,0.602,0.554,0.331,13.573,46.695,35.767,6.594,21.934,4.370,45.884,96.120,264.581,6.494,0.826,59,0,59,194.000
373.861,26.145,30.726,21.118,0.732,222.781,275.268,1.788,0.409,23418.597,129.959,74.782,0.945,0.254,7.165,40.861,0.069,59.549,0.000,8.904,0.001,20.076,3.334,1.467,0.291,3.185,64.047,28.710,2.703,0.247,2.440,9.099,285.214,22373.445,14.135,0.640,0,1,60,121.000
332.733,26.110,30.552,20.811,0.730,196.713,275.559,1.794,0.407,20737.703,133.526,69.603,1.112,0.254,7.340,41.085,0.062,59.899,0.000,8.684,0.001,19.411,3.052,1.344,0.287,3.017,63.843,28.751,2.753,0.261,2.508,9.102,276.659,19830.987,13.412,0.753,1,1,61,11.000
188.244,26.336,30.124,19.956,0.718,100.606,276.713,1.793,0.397,11125.206,128.159,47.498,1.658,0.248,8.298,44.410,0.037,60.240,0.000,10.760,0.001,16.396,1.936,0.825,0.279,2.657,62.411,29.266,2.992,0.390,3.135,8.254,278.483,10784.959,10.384,0.982,2,1,62,14.000
103.946,26.515,30.043,19.945,0.719,36.331,277.556,1.754,0.393,5064.126,107.879,34.024,1.942,0.235,9.134,50.605,0.012,60.557,0.000,16.595,0.001,13.142,0.971,0.360,0.277,2.634,61.113,29.748,3.237,0.541,3.974,6.437,266.616,5193.477,6.961,0.859,3,1,63,1.000
102.756,26.680,30.179,19.952,0.715,33.105,277.592,1.747,0.393,4790.083,109.441,35.748,1.778,0.230,8.982,53.080,0.004,62.539,0.000,18.205,0.001,12.020,0.799,0.313,0.277,2.635,61.668,29.333,3.347,0.533,4.100,6.184,229.775,4988.377,4.868,0.466,4,1,64,1.000
83.919,27.549,30.796,19.539,0.690,26.697,277.594,1.799,0.389,3673.565,132.280,34.018,1.488,0.237,8.582,54.909,0.002,65.718,0.000,16.633,0.000,10.945,0.921,0.248,0.279,2.721,62.818,28.577,3.658,0.465,3.997,7.936,211.696,3867.138,2.744,0.490,5,1,65,nan
61.703,28.948,32.101,19.311,0.664,19.038,277.621,1.901,0.383,2214.855,172.689,27.365,1.285,0.249,8.171,58.440,0.011,69.150,0.000,13.458,0.001,9.895,1.273,0.118,0.287,3.118,64.066,27.740,4.122,0.415,3.654,10.799,215.118,2345.910,1.043,0.682,6,1,66,2.000
55.351,29.490,32.541,18.521,0.635,18.439,277.900,1.928,0.369,2001.347,188.143,16.433,1.386,0.253,8.024,61.309,0.059,71.172,0.000,9.541,0.004,9.898,1.480,0.047,0.301,3.496,64.787,27.173,4.009,0.421,2.745,9.844,216.561,2105.224,0.477,0.817,7,1,67,nan
49.452,28.829,32.119,18.397,0.634,18.397,278.162,1.920,0.362,2129.533,183.917,6.833,1.432,0.245,7.881,60.392,0.134,72.813,0.000,5.971,0.007,9.969,1.618,0.018,0.319,3.585,65.424,26.681,3.423,0.396,1.452,6.530,182.834,2206.717,0.215,0.823,8,1,68,nan
37.008,28.219,32.596,20.396,0.683,13.475,277.798,1.932,0.376,1557.930,178.616,6.713,1.114,0.230,7.606,57.738,0.154,74.257,0.000,5.106,0.004,8.523,2.004,0.003,0.334,3.320,66.010,26.361,2.962,0.301,0.963,5.376,143.950,1567.571,0.053,0.671,9,1,69,nan
32.301,27.468,32.931,22.401,0.744,9.833,277.604,1.940,0.395,1079.170,167.077,7.568,0.972,0.218,7.467,60.454,0.139,76.213,0.000,4.999,0.001,5.998,2.203,0.000,0.329,3.163,66.351,26.147,2.768,0.252,0.838,6.422,124.091,1059.296,0.010,0.579,10,1,70,10.000
31.941,27.138,32.463,22.172,0.758,8.404,278.180,1.978,0.395,900.779,154.962,3.588,1.189,0.214,7.592,67.608,0.141,78.259,0.000,4.752,0.001,4.156,2.448,0.000,0.306,3.494,66.528,25.838,2.810,0.304,0.510,8.624,112.211,884.742,0.017,0.485,11,1,71,46.000
26.138,28.046,32.412,20.155,0.705,6.252,278.668,2.022,0.382,652.517,143.645,0.768,1.390,0.207,7.754,72.256,0.140,78.553,0.000,4.723,0.003,2.923,3.253,0.001,0.294,3.925,66.462,25.734,2.822,0.376,0.342,10.408,100.621,642.931,0.052,0.424,12,1,72,15.000
22.452,29.264,32.373,17.292,0.616,5.170,278.834,2.007,0.362,533.077,131.662,0.121,1.539,0.207,7.806,71.412,0.138,76.928,0.000,4.834,0.005,2.250,3.949,0.009,0.295,4.046,66.231,25.909,2.753,0.429,0.284,10.542,96.996,527.671,0.193,0.440,13,1,73,30.000
25.686,29.672,31.856,15.206,0.549,6.775,278.783,1.925,0.340,738.745,122.731,0.535,1.675,0.221,7.830,66.321,0.145,72.606,0.000,4.888,0.008,2.288,4.006,0.058,0.304,3.880,65.778,26.347,2.688,0.500,0.181,9.055,105.628,735.966,1.064,0.498,14,1,74,nan
31.494,29.761,31.546,14.805,0.533,10.146,278.756,1.823,0.319,1239.527,125.378,3.415,1.883,0.246,8.038,62.526,0.158,62.557,0.000,5.004,0.012,2.600,3.042,0.199,0.312,3.501,64.902,27.034,2.870,0.734,0.144,8.375,128.297,1242.712,4.490,0.587,15,1,75,6.000
35.994,30.132,31.773,15.019,0.534,12.076,278.948,1.786,0.297,1658.476,135.199,8.068,2.289,0.264,8.219,62.125,0.159,51.078,0.000,4.981,0.017,2.525,1.594,0.313,0.294,2.792,64.358,27.414,3.231,1.061,0.169,9.790,151.763,1673.878,8.417,0.555,16,1,76,14.000
38.831,30.128,31.712,14.886,0.529,12.336,279.205,1.803,0.285,1826.128,131.955,9.718,2.595,0.263,8.226,60.300,0.158,43.332,0.000,4.591,0.021,2.043,1.011,0.421,0.267,2.278,64.406,27.367,3.184,1.279,0.135,9.905,157.167,1860.624,8.903,0.544,17,1,77,59.000
39.340,30.119,31.663,14.426,0.514,11.945,279.669,1.830,0.277,1868.086,116.062,7.406,2.629,0.255,8.402,53.980,0.177,34.549,0.000,4.134,0.023,1.236,0.783,0.789,0.240,1.878,64.346,27.261,2.618,1.426,0.077,7.815,149.186,1930.355,7.093,0.577,18,1,78,8.000
36.810,30.872,32.133,13.441,0.481,10.464,280.223,1.835,0.269,1790.060,101.987,2.616,2.589,0.247,9.142,44.026,0.213,24.716,0.000,3.990,0.039,0.554,0.546,1.281,0.215,1.473,63.119,27.750,1.918,1.537,0.023,5.379,139.023,1861.298,5.956,0.493,19,1,79,11.000
45.491,31.714,32.706,12.636,0.456,12.195,280.469,1.795,0.259,2428.407,105.765,0.372,2.728,0.242,10.214,40.094,0.233,19.346,0.000,4.145,0.080,0.506,0.413,1.623,0.205,1.371,60.981,28.811,1.653,1.753,0.003,4.296,144.994,2463.509,7.564,0.429,20,1,80,4.000
81.291,32.207,33.056,12.268,0.440,21.492,280.499,1.709,0.245,4748.759,123.938,0.024,2.854,0.241,11.138,43.052,0.236,19.192,0.000,4.456,0.160,0.661,0.359,2.315,0.206,1.497,59.092,29.771,1.651,1.995,0.001,3.751,168.994,4754.259,9.900,0.411,21,1,81,28.000
149.360,32.790,33.502,12.058,0.428,43.590,280.455,1.634,0.232,10040.360,139.455,0.001,3.042,0.244,11.549,48.030,0.228,20.980,0.000,4.792,0.257,0.799,0.345,3.116,0.211,1.647,58.172,30.273,1.715,2.177,0.001,3.416,205.407,10063.935,11.677,0.376,22,1,82,28.000
