xy_id,som_key,lon,lat
10748,430,140125.0,463125.0
10749,430,140375.0,463125.0
10750,5,140625.0,463125.0
10751,5,140875.0,463125.0
10752,269,141125.0,463125.0
10753,270,141375.0,463125.0
10754,211,141625.0,463125.0
10755,211,141875.0,463125.0
10756,152,142125.0,463125.0
10757,580,142375.0,463125.0
10758,638,142625.0,463125.0
10759,702,142875.0,463125.0
10760,153,143125.0,463125.0
10761,764,143375.0,463125.0
10762,643,143625.0,463125.0
10928,1285,117125.0,462875.0
10929,2972,117375.0,462875.0
10930,1732,117625.0,462875.0
10931,2999,117875.0,462875.0
10932,1671,118125.0,462875.0
10933,2996,118375.0,462875.0
10934,2961,118625.0,462875.0
10935,2642,118875.0,462875.0
10936,2820,119125.0,462875.0
10937,2460,119375.0,462875.0
10938,2341,119625.0,462875.0
10939,2340,119875.0,462875.0
10940,2340,120125.0,462875.0
10941,2340,120375.0,462875.0
10942,2340,120625.0,462875.0
10943,2341,120875.0,462875.0
10944,2340,121125.0,462875.0
10945,2340,121375.0,462875.0
10946,2583,121625.0,462875.0
10947,2400,121875.0,462875.0
10948,2461,122125.0,462875.0
10949,2644,122375.0,462875.0
10950,2769,122625.0,462875.0
10951,2706,122875.0,462875.0
10952,2769,123125.0,462875.0
10953,2707,123375.0,462875.0
10954,2645,123625.0,462875.0
10955,2524,123875.0,462875.0
10956,2404,124125.0,462875.0
10957,2585,124375.0,462875.0
10958,2820,124625.0,462875.0
10959,1609,124875.0,462875.0
10960,1566,125125.0,462875.0
10961,2662,125375.0,462875.0
10962,2850,125625.0,462875.0
10963,2912,125875.0,462875.0
10964,2981,126125.0,462875.0
10965,2783,126375.0,462875.0
10966,2662,126625.0,462875.0
10967,2723,126875.0,462875.0
10968,2355,127125.0,462875.0
10969,2663,127375.0,462875.0
10970,2988,127625.0,462875.0
10971,2981,127875.0,462875.0
10972,2853,128125.0,462875.0
10973,2542,128375.0,462875.0
10974,2294,128625.0,462875.0
11014,2867,138625.0,462875.0
11015,2992,138875.0,462875.0
11016,2934,139125.0,462875.0
11017,2934,139375.0,462875.0
11018,2152,139625.0,462875.0
11019,1721,139875.0,462875.0
11020,430,140125.0,462875.0
11021,430,140375.0,462875.0
11022,5,140625.0,462875.0
11023,370,140875.0,462875.0
11024,270,141125.0,462875.0
11025,271,141375.0,462875.0
11026,151,141625.0,462875.0
11027,152,141875.0,462875.0
11028,272,142125.0,462875.0
11029,763,142375.0,462875.0
11030,336,142625.0,462875.0
11031,455,142875.0,462875.0
11032,514,143125.0,462875.0
11033,642,143375.0,462875.0
11034,643,143625.0,462875.0
11035,459,143875.0,462875.0
11199,2478,116875.0,462625.0
11200,2898,117125.0,462625.0
11201,1670,117375.0,462625.0
11202,2988,117625.0,462625.0
11203,2999,117875.0,462625.0
11204,1731,118125.0,462625.0
11205,2999,118375.0,462625.0
11206,2995,118625.0,462625.0
11207,2642,118875.0,462625.0
11208,2760,119125.0,462625.0
11209,2700,119375.0,462625.0
11210,2400,119625.0,462625.0
11211,2460,119875.0,462625.0
11212,2340,120125.0,462625.0
11213,2460,120375.0,462625.0
11214,2460,120625.0,462625.0
11215,2400,120875.0,462625.0
11216,2462,121125.0,462625.0
11217,2400,121375.0,462625.0
11218,2340,121625.0,462625.0
11219,2340,121875.0,462625.0
11220,2400,122125.0,462625.0
11221,2644,122375.0,462625.0
11222,2829,122625.0,462625.0
11223,2584,122875.0,462625.0
11224,2767,123125.0,462625.0
11225,2829,123375.0,462625.0
11226,2830,123625.0,462625.0
11227,2706,123875.0,462625.0
11228,2768,124125.0,462625.0
11229,2646,124375.0,462625.0
11230,1222,124625.0,462625.0
11231,1344,124875.0,462625.0
11232,482,125125.0,462625.0
11233,1685,125375.0,462625.0
11234,2664,125625.0,462625.0
11235,2850,125875.0,462625.0
11236,2723,126125.0,462625.0
11237,2980,126375.0,462625.0
11238,2416,126625.0,462625.0
11239,2722,126875.0,462625.0
11240,2723,127125.0,462625.0
11241,2852,127375.0,462625.0
11242,2852,127625.0,462625.0
11243,2930,127875.0,462625.0
11244,2793,128125.0,462625.0
11245,2671,128375.0,462625.0
11246,2855,128625.0,462625.0
11247,2662,128875.0,462625.0
11286,2268,138625.0,462625.0
11287,1911,138875.0,462625.0
11288,2277,139125.0,462625.0
11289,2153,139375.0,462625.0
11290,1965,139625.0,462625.0
11291,1660,139875.0,462625.0
11292,1599,140125.0,462625.0
11293,430,140375.0,462625.0
11294,5,140625.0,462625.0
11295,1980,140875.0,462625.0
11296,210,141125.0,462625.0
11297,211,141375.0,462625.0
11298,91,141625.0,462625.0
11299,92,141875.0,462625.0
11300,454,142125.0,462625.0
11301,763,142375.0,462625.0
11302,702,142625.0,462625.0
11303,516,142875.0,462625.0
11304,642,143125.0,462625.0
11305,704,143375.0,462625.0
11306,643,143625.0,462625.0
11471,2290,116875.0,462375.0
11472,2122,117125.0,462375.0
11473,2998,117375.0,462375.0
11474,1609,117625.0,462375.0
11475,1671,117875.0,462375.0
11476,2289,118125.0,462375.0
11477,2897,118375.0,462375.0
11478,2889,118625.0,462375.0
11479,2887,118875.0,462375.0
11480,2581,119125.0,462375.0
11481,2881,119375.0,462375.0
11482,2522,119625.0,462375.0
11483,2582,119875.0,462375.0
11484,2460,120125.0,462375.0
11485,2462,120375.0,462375.0
11486,2520,120625.0,462375.0
11487,2520,120875.0,462375.0
11488,2340,121125.0,462375.0
11489,2400,121375.0,462375.0
11490,2400,121625.0,462375.0
11491,2401,121875.0,462375.0
11492,2400,122125.0,462375.0
11493,2522,122375.0,462375.0
11494,2645,122625.0,462375.0
11495,2645,122875.0,462375.0
11496,2584,123125.0,462375.0
11497,2706,123375.0,462375.0
11498,2901,123625.0,462375.0
11499,2706,123875.0,462375.0
11500,2767,124125.0,462375.0
11501,2705,124375.0,462375.0
11502,2707,124625.0,462375.0
11503,1328,124875.0,462375.0
11504,482,125125.0,462375.0
11505,660,125375.0,462375.0
11506,1683,125625.0,462375.0
11507,2723,125875.0,462375.0
11508,2849,126125.0,462375.0
11509,2982,126375.0,462375.0
11510,2849,126625.0,462375.0
11511,2294,126875.0,462375.0
11512,2417,127125.0,462375.0
11513,2852,127375.0,462375.0
11514,2790,127625.0,462375.0
11515,2981,127875.0,462375.0
11516,2793,128125.0,462375.0
11517,2730,128375.0,462375.0
11518,2731,128625.0,462375.0
11519,2682,128875.0,462375.0
11520,2799,129125.0,462375.0
11557,2208,138375.0,462375.0
11558,2268,138625.0,462375.0
11559,2147,138875.0,462375.0
11560,2023,139125.0,462375.0
11561,2026,139375.0,462375.0
11562,1781,139625.0,462375.0
11563,1658,139875.0,462375.0
11564,1598,140125.0,462375.0
11565,208,140375.0,462375.0
11566,209,140625.0,462375.0
11567,209,140875.0,462375.0
11568,210,141125.0,462375.0
11569,211,141375.0,462375.0
11570,272,141625.0,462375.0
11571,455,141875.0,462375.0
11572,762,142125.0,462375.0
11573,763,142375.0,462375.0
11574,703,142625.0,462375.0
11575,581,142875.0,462375.0
11576,642,143125.0,462375.0
11577,643,143375.0,462375.0
11578,582,143625.0,462375.0
11579,274,143875.0,462375.0
11580,274,144125.0,462375.0
11581,452,144375.0,462375.0
11743,2474,116875.0,462125.0
11744,2408,117125.0,462125.0
11745,1302,117375.0,462125.0
11746,2961,117625.0,462125.0
11747,2901,117875.0,462125.0
11748,2824,118125.0,462125.0
11749,2898,118375.0,462125.0
11750,2764,118625.0,462125.0
11751,2887,118875.0,462125.0
11752,2460,119125.0,462125.0
11753,2820,119375.0,462125.0
11754,2760,119625.0,462125.0
11755,2460,119875.0,462125.0
11756,2401,120125.0,462125.0
11757,2340,120375.0,462125.0
11758,2523,120625.0,462125.0
11759,2400,120875.0,462125.0
11760,2461,121125.0,462125.0
11761,2401,121375.0,462125.0
11762,2461,121625.0,462125.0
11763,2522,121875.0,462125.0
11764,2461,122125.0,462125.0
11765,2705,122375.0,462125.0
11766,2645,122625.0,462125.0
11767,2464,122875.0,462125.0
11768,2828,123125.0,462125.0
11769,2830,123375.0,462125.0
11770,2706,123625.0,462125.0
11771,2708,123875.0,462125.0
11772,2706,124125.0,462125.0
11773,2769,124375.0,462125.0
11774,2345,124625.0,462125.0
11775,1566,124875.0,462125.0
11776,1624,125125.0,462125.0
11777,2296,125375.0,462125.0
11778,2662,125625.0,462125.0
11779,2723,125875.0,462125.0
11780,2416,126125.0,462125.0
11781,2973,126375.0,462125.0
11782,2875,126625.0,462125.0
11783,2603,126875.0,462125.0
11784,2543,127125.0,462125.0
11785,2611,127375.0,462125.0
11786,2422,127625.0,462125.0
11787,2543,127875.0,462125.0
11788,2548,128125.0,462125.0
11789,2551,128375.0,462125.0
11790,2497,128625.0,462125.0
11791,2250,128875.0,462125.0
11792,2557,129125.0,462125.0
11793,2507,129375.0,462125.0
11829,2206,138375.0,462125.0
11830,2206,138625.0,462125.0
11831,2147,138875.0,462125.0
11832,1675,139125.0,462125.0
11833,2152,139375.0,462125.0
11834,1720,139625.0,462125.0
11835,1598,139875.0,462125.0
11836,1598,140125.0,462125.0
11837,208,140375.0,462125.0
11838,149,140625.0,462125.0
11839,210,140875.0,462125.0
11840,211,141125.0,462125.0
11841,151,141375.0,462125.0
11842,883,141625.0,462125.0
11843,762,141875.0,462125.0
11844,764,142125.0,462125.0
11845,763,142375.0,462125.0
11846,703,142625.0,462125.0
11847,520,142875.0,462125.0
11848,581,143125.0,462125.0
11849,521,143375.0,462125.0
11850,461,143625.0,462125.0
11851,338,143875.0,462125.0
11852,334,144125.0,462125.0
11853,394,144375.0,462125.0
11854,334,144625.0,462125.0
12012,2771,116125.0,461875.0
12013,2990,116375.0,461875.0
12014,2851,116625.0,461875.0
12015,2888,116875.0,461875.0
12016,2838,117125.0,461875.0
12017,2887,117375.0,461875.0
12018,2947,117625.0,461875.0
12019,2888,117875.0,461875.0
12020,2947,118125.0,461875.0
12021,2887,118375.0,461875.0
12022,2886,118625.0,461875.0
12023,2641,118875.0,461875.0
12024,2580,119125.0,461875.0
12025,2580,119375.0,461875.0
12026,2942,119625.0,461875.0
12027,2461,119875.0,461875.0
12028,2461,120125.0,461875.0
12029,2583,120375.0,461875.0
12030,2955,120625.0,461875.0
12031,2460,120875.0,461875.0
12032,2400,121125.0,461875.0
12033,2461,121375.0,461875.0
12034,2460,121625.0,461875.0
12035,2767,121875.0,461875.0
