,WSO1_ID,station,som_key,Country,lon,lat
65737,488011,ALAR DEL REY,2819,Spain,-4.314572679557348,42.65903536633442
65745,488011,ALAR DEL REY,1773,Spain,-4.314572679557348,42.65903536633442
65747,488011,ALAR DEL REY,2009,Spain,-4.314572679557348,42.65903536633442
65751,488011,ALAR DEL REY,2639,Spain,-4.314572679557348,42.65903536633442
65752,503424,CASTROVIDO,1831,Spain,-3.2700092063739743,42.04433526082516
65753,503424,CASTROVIDO,1950,Spain,-3.2700092063739743,42.04433526082516
65755,503424,CASTROVIDO,1771,Spain,-3.2700092063739743,42.04433526082516
65759,503424,CASTROVIDO,1830,Spain,-3.2700092063739743,42.04433526082516
65765,503424,CASTROVIDO,1891,Spain,-3.2700092063739743,42.04433526082516
65768,503424,CASTROVIDO,1890,Spain,-3.2700092063739743,42.04433526082516
65769,503424,CASTROVIDO,1949,Spain,-3.2700092063739743,42.04433526082516
65797,497202,CORDOVILLA LA REAL,817,Spain,-4.248245159975076,42.115733526494914
65798,497202,CORDOVILLA LA REAL,1467,Spain,-4.248245159975076,42.115733526494914
65799,497202,CORDOVILLA LA REAL,1351,Spain,-4.248245159975076,42.115733526494914
65801,497202,CORDOVILLA LA REAL,1008,Spain,-4.248245159975076,42.115733526494914
65803,497202,CORDOVILLA LA REAL,1291,Spain,-4.248245159975076,42.115733526494914
65806,497202,CORDOVILLA LA REAL,1350,Spain,-4.248245159975076,42.115733526494914
65810,497202,CORDOVILLA LA REAL,758,Spain,-4.248245159975076,42.115733526494914
65838,497202,CORDOVILLA LA REAL,1539,Spain,-4.248245159975076,42.115733526494914
65852,497202,CORDOVILLA LA REAL,1540,Spain,-4.248245159975076,42.115733526494914
65853,502067,COVARRUBIAS,1772,Spain,-3.5074001507001773,42.05579822678698
65854,502067,COVARRUBIAS,2184,Spain,-3.5074001507001773,42.05579822678698
65855,502067,COVARRUBIAS,1830,Spain,-3.5074001507001773,42.05579822678698
65856,502067,COVARRUBIAS,1409,Spain,-3.5074001507001773,42.05579822678698
65857,502067,COVARRUBIAS,1771,Spain,-3.5074001507001773,42.05579822678698
65858,502067,COVARRUBIAS,2183,Spain,-3.5074001507001773,42.05579822678698
65862,502067,COVARRUBIAS,2009,Spain,-3.5074001507001773,42.05579822678698
65863,502067,COVARRUBIAS,1950,Spain,-3.5074001507001773,42.05579822678698
65869,502067,COVARRUBIAS,1890,Spain,-3.5074001507001773,42.05579822678698
65871,502067,COVARRUBIAS,1831,Spain,-3.5074001507001773,42.05579822678698
65874,502067,COVARRUBIAS,1711,Spain,-3.5074001507001773,42.05579822678698
65877,502067,COVARRUBIAS,1408,Spain,-3.5074001507001773,42.05579822678698
65881,502067,COVARRUBIAS,1889,Spain,-3.5074001507001773,42.05579822678698
65909,499418,PERAL DE ARLANZA,938,Spain,-4.071857000589077,42.08065397692458
65910,499418,PERAL DE ARLANZA,1708,Spain,-4.071857000589077,42.08065397692458
65911,499418,PERAL DE ARLANZA,1409,Spain,-4.071857000589077,42.08065397692458
65912,499418,PERAL DE ARLANZA,1231,Spain,-4.071857000589077,42.08065397692458
65913,499418,PERAL DE ARLANZA,1172,Spain,-4.071857000589077,42.08065397692458
65914,499418,PERAL DE ARLANZA,1408,Spain,-4.071857000589077,42.08065397692458
65920,499418,PERAL DE ARLANZA,1291,Spain,-4.071857000589077,42.08065397692458
65924,499418,PERAL DE ARLANZA,1481,Spain,-4.071857000589077,42.08065397692458
65927,499418,PERAL DE ARLANZA,1350,Spain,-4.071857000589077,42.08065397692458
65940,499418,PERAL DE ARLANZA,1600,Spain,-4.071857000589077,42.08065397692458
65951,499418,PERAL DE ARLANZA,1540,Spain,-4.071857000589077,42.08065397692458
65956,499418,PERAL DE ARLANZA,1232,Spain,-4.071857000589077,42.08065397692458
65965,482983,BESANDE,2302,Spain,-4.884151733125536,42.89879249165863
65966,482983,BESANDE,2134,Spain,-4.884151733125536,42.89879249165863
65967,482983,BESANDE,2251,Spain,-4.884151733125536,42.89879249165863
65968,482983,BESANDE,2193,Spain,-4.884151733125536,42.89879249165863
65969,482983,BESANDE,2311,Spain,-4.884151733125536,42.89879249165863
65972,482983,BESANDE,2310,Spain,-4.884151733125536,42.89879249165863
65977,482983,BESANDE,2192,Spain,-4.884151733125536,42.89879249165863
65983,482983,BESANDE,2252,Spain,-4.884151733125536,42.89879249165863
66008,484129,OTERO DE GUARDO,2310,Spain,-4.850290849275134,42.83067360720418
66009,484129,OTERO DE GUARDO,2134,Spain,-4.850290849275134,42.83067360720418
66010,484129,OTERO DE GUARDO,2251,Spain,-4.850290849275134,42.83067360720418
66011,484129,OTERO DE GUARDO,2192,Spain,-4.850290849275134,42.83067360720418
66014,484129,OTERO DE GUARDO,2311,Spain,-4.850290849275134,42.83067360720418
66017,484129,OTERO DE GUARDO,2193,Spain,-4.850290849275134,42.83067360720418
66019,484129,OTERO DE GUARDO,2303,Spain,-4.850290849275134,42.83067360720418
66030,484129,OTERO DE GUARDO,2073,Spain,-4.850290849275134,42.83067360720418
66041,484129,OTERO DE GUARDO,2252,Spain,-4.850290849275134,42.83067360720418
66045,484129,OTERO DE GUARDO,2302,Spain,-4.850290849275134,42.83067360720418
66050,499383,QUINTANA DEL PUENTE,938,Spain,-4.2392324942999595,42.0579206353652
66051,499383,QUINTANA DEL PUENTE,1408,Spain,-4.2392324942999595,42.0579206353652
66052,499383,QUINTANA DEL PUENTE,1350,Spain,-4.2392324942999595,42.0579206353652
66053,499383,QUINTANA DEL PUENTE,937,Spain,-4.2392324942999595,42.0579206353652
66056,499383,QUINTANA DEL PUENTE,878,Spain,-4.2392324942999595,42.0579206353652
66060,499383,QUINTANA DEL PUENTE,1291,Spain,-4.2392324942999595,42.0579206353652
66061,499383,QUINTANA DEL PUENTE,1421,Spain,-4.2392324942999595,42.0579206353652
66076,499383,QUINTANA DEL PUENTE,1232,Spain,-4.2392324942999595,42.0579206353652
66089,499383,QUINTANA DEL PUENTE,1540,Spain,-4.2392324942999595,42.0579206353652
66103,499383,QUINTANA DEL PUENTE,1481,Spain,-4.2392324942999595,42.0579206353652
66104,493610,VILLOLDO,950,Spain,-4.598894084687706,42.25130022321772
66160,493313,VILLALCAZAR DE SIRGA,638,Spain,-4.522655411490657,42.32419605293813
66161,493313,VILLALCAZAR DE SIRGA,1352,Spain,-4.522655411490657,42.32419605293813
66162,493313,VILLALCAZAR DE SIRGA,697,Spain,-4.522655411490657,42.32419605293813
66165,493313,VILLALCAZAR DE SIRGA,756,Spain,-4.522655411490657,42.32419605293813
66169,493313,VILLALCAZAR DE SIRGA,1466,Spain,-4.522655411490657,42.32419605293813
66179,493313,VILLALCAZAR DE SIRGA,1597,Spain,-4.522655411490657,42.32419605293813
66187,493313,VILLALCAZAR DE SIRGA,816,Spain,-4.522655411490657,42.32419605293813
66207,493313,VILLALCAZAR DE SIRGA,757,Spain,-4.522655411490657,42.32419605293813
66208,497463,PALENCIA,950,Spain,-4.553782544714492,42.05269658508959
66213,497463,PALENCIA,949,Spain,-4.553782544714492,42.05269658508959
66264,506591,CABEZON DE PISUERGA,758,Spain,-4.638036637753821,41.742964637793506
66265,506591,CABEZON DE PISUERGA,1008,Spain,-4.638036637753821,41.742964637793506
66270,506591,CABEZON DE PISUERGA,946,Spain,-4.638036637753821,41.742964637793506
66277,506591,CABEZON DE PISUERGA,885,Spain,-4.638036637753821,41.742964637793506
66315,506591,CABEZON DE PISUERGA,954,Spain,-4.638036637753821,41.742964637793506
66320,509394,VALLADOLID,820,Spain,-4.716188887987872,41.6691759108172
66321,509394,VALLADOLID,884,Spain,-4.716188887987872,41.6691759108172
66322,509394,VALLADOLID,880,Spain,-4.716188887987872,41.6691759108172
66329,509394,VALLADOLID,885,Spain,-4.716188887987872,41.6691759108172
66333,509394,VALLADOLID,765,Spain,-4.716188887987872,41.6691759108172
66336,509394,VALLADOLID,819,Spain,-4.716188887987872,41.6691759108172
66351,509394,VALLADOLID,825,Spain,-4.716188887987872,41.6691759108172
66376,524680,AVILA,1411,Spain,-4.705725118481361,40.65163445322607
66377,524680,AVILA,1587,Spain,-4.705725118481361,40.65163445322607
66378,524680,AVILA,1470,Spain,-4.705725118481361,40.65163445322607
66380,524680,AVILA,1531,Spain,-4.705725118481361,40.65163445322607
